Називний;Родовий;Знахідний;Давальний;Орудний;Джерело;Примітка
заступник командира військової частини з озброєння;заступника командира військової частини з озброєння;заступника командира військової частини з озброєння;заступнику командира військової частини з озброєння;заступником командира військової частини з озброєння;зведений;
заступник командира військової частини з персоналу;заступника командира військової частини з персоналу;заступника командира військової частини з персоналу;заступнику командира військової частини з персоналу;заступником командира військової частини з персоналу;зведений;
заступник командира військової частини з повітряно-десантної підготовки;заступника командира військової частини з повітряно-десантної підготовки;заступника командира військової частини з повітряно-десантної підготовки;заступнику командира військової частини з повітряно-десантної підготовки;заступником командира військової частини з повітряно-десантної підготовки;зведений;
заступник командира військової частини з психологічної підтримки персоналу;заступника командира військової частини з психологічної підтримки персоналу;заступника командира військової частини з психологічної підтримки персоналу;заступнику командира військової частини з психологічної підтримки персоналу;заступником командира військової частини з психологічної підтримки персоналу;зведений;
заступник командира військової частини з ракетно-артилерійського озброєння;заступника командира військової частини з ракетно-артилерійського озброєння;заступника командира військової частини з ракетно-артилерійського озброєння;заступнику командира військової частини з ракетно-артилерійського озброєння;заступником командира військової частини з ракетно-артилерійського озброєння;зведений;
заступник командира військової частини з роботи з особовим складом;заступника командира військової частини з роботи з особовим складом;заступника командира військової частини з роботи з особовим складом;заступнику командира військової частини з роботи з особовим складом;заступником командира військової частини з роботи з особовим складом;зведений;
заступник командира військової частини з технічного забезпечення;заступника командира військової частини з технічного забезпечення;заступника командира військової частини з технічного забезпечення;заступнику командира військової частини з технічного забезпечення;заступником командира військової частини з технічного забезпечення;зведений;
заступник командира військової частини з тилу;заступника командира військової частини з тилу;заступника командира військової частини з тилу;заступнику командира військової частини з тилу;заступником командира військової частини з тилу;зведений;
заступник командира військової частини з цивільно-військового співробітництва;заступника командира військової частини з цивільно-військового співробітництва;заступника командира військової частини з цивільно-військового співробітництва;заступнику командира військової частини з цивільно-військового співробітництва;заступником командира військової частини з цивільно-військового співробітництва;зведений;
заступник командира військової частини з інженерного забезпечення;заступника командира військової частини з інженерного забезпечення;заступника командира військової частини з інженерного забезпечення;заступнику командира військової частини з інженерного забезпечення;заступником командира військової частини з інженерного забезпечення;зведений;
заступник командира групи;заступника командира групи;заступника командира групи;заступнику командира групи;заступником командира групи;зведений;
заступник командира дивізіону;заступника командира дивізіону;заступника командира дивізіону;заступнику командира дивізіону;заступником командира дивізіону;зведений;
заступник командира дивізіону з безпеки військової служби;заступника командира дивізіону з безпеки військової служби;заступника командира дивізіону з безпеки військової служби;заступнику командира дивізіону з безпеки військової служби;заступником командира дивізіону з безпеки військової служби;зведений;
заступник командира дивізіону з бойової підготовки;заступника командира дивізіону з бойової підготовки;заступника командира дивізіону з бойової підготовки;заступнику командира дивізіону з бойової підготовки;заступником командира дивізіону з бойової підготовки;зведений;
заступник командира дивізіону з зв'язку;заступника командира дивізіону з зв'язку;заступника командира дивізіону з зв'язку;заступнику командира дивізіону з зв'язку;заступником командира дивізіону з зв'язку;зведений;
заступник командира дивізіону з логістики;заступника командира дивізіону з логістики;заступника командира дивізіону з логістики;заступнику командира дивізіону з логістики;заступником командира дивізіону з логістики;зведений;
заступник командира дивізіону з морально-психологічного забезпечення;заступника командира дивізіону з морально-психологічного забезпечення;заступника командира дивізіону з морально-психологічного забезпечення;заступнику командира дивізіону з морально-психологічного забезпечення;заступником командира дивізіону з морально-психологічного забезпечення;зведений;
заступник командира дивізіону з озброєння;заступника командира дивізіону з озброєння;заступника командира дивізіону з озброєння;заступнику командира дивізіону з озброєння;заступником командира дивізіону з озброєння;зведений;
заступник командира дивізіону з персоналу;заступника командира дивізіону з персоналу;заступника командира дивізіону з персоналу;заступнику командира дивізіону з персоналу;заступником командира дивізіону з персоналу;зведений;
заступник командира дивізіону з повітряно-десантної підготовки;заступника командира дивізіону з повітряно-десантної підготовки;заступника командира дивізіону з повітряно-десантної підготовки;заступнику командира дивізіону з повітряно-десантної підготовки;заступником командира дивізіону з повітряно-десантної підготовки;зведений;
заступник командира дивізіону з психологічної підтримки персоналу;заступника командира дивізіону з психологічної підтримки персоналу;заступника командира дивізіону з психологічної підтримки персоналу;заступнику командира дивізіону з психологічної підтримки персоналу;заступником командира дивізіону з психологічної підтримки персоналу;зведений;
заступник командира дивізіону з ракетно-артилерійського озброєння;заступника командира дивізіону з ракетно-артилерійського озброєння;заступника командира дивізіону з ракетно-артилерійського озброєння;заступнику командира дивізіону з ракетно-артилерійського озброєння;заступником командира дивізіону з ракетно-артилерійського озброєння;зведений;
заступник командира дивізіону з роботи з особовим складом;заступника командира дивізіону з роботи з особовим складом;заступника командира дивізіону з роботи з особовим складом;заступнику командира дивізіону з роботи з особовим складом;заступником командира дивізіону з роботи з особовим складом;зведений;
заступник командира дивізіону з технічного забезпечення;заступника командира дивізіону з технічного забезпечення;заступника командира дивізіону з технічного забезпечення;заступнику командира дивізіону з технічного забезпечення;заступником командира дивізіону з технічного забезпечення;зведений;
заступник командира дивізіону з тилу;заступника командира дивізіону з тилу;заступника командира дивізіону з тилу;заступнику командира дивізіону з тилу;заступником командира дивізіону з тилу;зведений;
заступник командира дивізіону з цивільно-військового співробітництва;заступника командира дивізіону з цивільно-військового співробітництва;заступника командира дивізіону з цивільно-військового співробітництва;заступнику командира дивізіону з цивільно-військового співробітництва;заступником командира дивізіону з цивільно-військового співробітництва;зведений;
заступник командира дивізіону з інженерного забезпечення;заступника командира дивізіону з інженерного забезпечення;заступника командира дивізіону з інженерного забезпечення;заступнику командира дивізіону з інженерного забезпечення;заступником командира дивізіону з інженерного забезпечення;зведений;
заступник командира екіпажу;заступника командира екіпажу;заступника командира екіпажу;заступнику командира екіпажу;заступником командира екіпажу;зведений;
заступник командира ескадрильї;заступника командира ескадрильї;заступника командира ескадрильї;заступнику командира ескадрильї;заступником командира ескадрильї;зведений;
заступник командира загону;заступника командира загону;заступника командира загону;заступнику командира загону;заступником командира загону;зведений;
заступник командира командування;заступника командира командування;заступника командира командування;заступнику командира командування;заступником командира командування;зведений;
заступник командира корпусу;заступника командира корпусу;заступника командира корпусу;заступнику командира корпусу;заступником командира корпусу;зведений;
заступник командира ланки;заступника командира ланки;заступника командира ланки;заступнику командира ланки;заступником командира ланки;зведений;
заступник командира полку;заступника командира полку;заступника командира полку;заступнику командира полку;заступником командира полку;зведений;
заступник командира полку з безпеки військової служби;заступника командира полку з безпеки військової служби;заступника командира полку з безпеки військової служби;заступнику командира полку з безпеки військової служби;заступником командира полку з безпеки військової служби;зведений;
заступник командира полку з бойової підготовки;заступника командира полку з бойової підготовки;заступника командира полку з бойової підготовки;заступнику командира полку з бойової підготовки;заступником командира полку з бойової підготовки;зведений;
заступник командира полку з зв'язку;заступника командира полку з зв'язку;заступника командира полку з зв'язку;заступнику командира полку з зв'язку;заступником командира полку з зв'язку;зведений;
заступник командира полку з логістики;заступника командира полку з логістики;заступника командира полку з логістики;заступнику командира полку з логістики;заступником командира полку з логістики;зведений;
заступник командира полку з морально-психологічного забезпечення;заступника командира полку з морально-психологічного забезпечення;заступника командира полку з морально-психологічного забезпечення;заступнику командира полку з морально-психологічного забезпечення;заступником командира полку з морально-психологічного забезпечення;зведений;
заступник командира полку з озброєння;заступника командира полку з озброєння;заступника командира полку з озброєння;заступнику командира полку з озброєння;заступником командира полку з озброєння;зведений;
заступник командира полку з персоналу;заступника командира полку з персоналу;заступника командира полку з персоналу;заступнику командира полку з персоналу;заступником командира полку з персоналу;зведений;
заступник командира полку з повітряно-десантної підготовки;заступника командира полку з повітряно-десантної підготовки;заступника командира полку з повітряно-десантної підготовки;заступнику командира полку з повітряно-десантної підготовки;заступником командира полку з повітряно-десантної підготовки;зведений;
заступник командира полку з психологічної підтримки персоналу;заступника командира полку з психологічної підтримки персоналу;заступника командира полку з психологічної підтримки персоналу;заступнику командира полку з психологічної підтримки персоналу;заступником командира полку з психологічної підтримки персоналу;зведений;
заступник командира полку з ракетно-артилерійського озброєння;заступника командира полку з ракетно-артилерійського озброєння;заступника командира полку з ракетно-артилерійського озброєння;заступнику командира полку з ракетно-артилерійського озброєння;заступником командира полку з ракетно-артилерійського озброєння;зведений;
заступник командира полку з роботи з особовим складом;заступника командира полку з роботи з особовим складом;заступника командира полку з роботи з особовим складом;заступнику командира полку з роботи з особовим складом;заступником командира полку з роботи з особовим складом;зведений;
заступник командира полку з технічного забезпечення;заступника командира полку з технічного забезпечення;заступника командира полку з технічного забезпечення;заступнику командира полку з технічного забезпечення;заступником командира полку з технічного забезпечення;зведений;
заступник командира полку з тилу;заступника командира полку з тилу;заступника командира полку з тилу;заступнику командира полку з тилу;заступником командира полку з тилу;зведений;
заступник командира полку з цивільно-військового співробітництва;заступника командира полку з цивільно-військового співробітництва;заступника командира полку з цивільно-військового співробітництва;заступнику командира полку з цивільно-військового співробітництва;заступником командира полку з цивільно-військового співробітництва;зведений;
заступник командира полку з інженерного забезпечення;заступника командира полку з інженерного забезпечення;заступника командира полку з інженерного забезпечення;заступнику командира полку з інженерного забезпечення;заступником командира полку з інженерного забезпечення;зведений;
заступник командира роти;заступника командира роти;заступника командира роти;заступнику командира роти;заступником командира роти;зведений;
заступник командира роти з безпеки військової служби;заступника командира роти з безпеки військової служби;заступника командира роти з безпеки військової служби;заступнику командира роти з безпеки військової служби;заступником командира роти з безпеки військової служби;зведений;
заступник командира роти з бойової підготовки;заступника командира роти з бойової підготовки;заступника командира роти з бойової підготовки;заступнику командира роти з бойової підготовки;заступником командира роти з бойової підготовки;зведений;
заступник командира роти з зв'язку;заступника командира роти з зв'язку;заступника командира роти з зв'язку;заступнику командира роти з зв'язку;заступником командира роти з зв'язку;зведений;
заступник командира роти з логістики;заступника командира роти з логістики;заступника командира роти з логістики;заступнику командира роти з логістики;заступником командира роти з логістики;зведений;
заступник командира роти з морально-психологічного забезпечення;заступника командира роти з морально-психологічного забезпечення;заступника командира роти з морально-психологічного забезпечення;заступнику командира роти з морально-психологічного забезпечення;заступником командира роти з морально-психологічного забезпечення;зведений;
заступник командира роти з озброєння;заступника командира роти з озброєння;заступника командира роти з озброєння;заступнику командира роти з озброєння;заступником командира роти з озброєння;зведений;
заступник командира роти з персоналу;заступника командира роти з персоналу;заступника командира роти з персоналу;заступнику командира роти з персоналу;заступником командира роти з персоналу;зведений;
заступник командира роти з повітряно-десантної підготовки;заступника командира роти з повітряно-десантної підготовки;заступника командира роти з повітряно-десантної підготовки;заступнику командира роти з повітряно-десантної підготовки;заступником командира роти з повітряно-десантної підготовки;зведений;
заступник командира роти з психологічної підтримки персоналу;заступника командира роти з психологічної підтримки персоналу;заступника командира роти з психологічної підтримки персоналу;заступнику командира роти з психологічної підтримки персоналу;заступником командира роти з психологічної підтримки персоналу;зведений;
заступник командира роти з ракетно-артилерійського озброєння;заступника командира роти з ракетно-артилерійського озброєння;заступника командира роти з ракетно-артилерійського озброєння;заступнику командира роти з ракетно-артилерійського озброєння;заступником командира роти з ракетно-артилерійського озброєння;зведений;
заступник командира роти з роботи з особовим складом;заступника командира роти з роботи з особовим складом;заступника командира роти з роботи з особовим складом;заступнику командира роти з роботи з особовим складом;заступником командира роти з роботи з особовим складом;зведений;
заступник командира роти з технічного забезпечення;заступника командира роти з технічного забезпечення;заступника командира роти з технічного забезпечення;заступнику командира роти з технічного забезпечення;заступником командира роти з технічного забезпечення;зведений;
заступник командира роти з тилу;заступника командира роти з тилу;заступника командира роти з тилу;заступнику командира роти з тилу;заступником командира роти з тилу;зведений;
заступник командира роти з цивільно-військового співробітництва;заступника командира роти з цивільно-військового співробітництва;заступника командира роти з цивільно-військового співробітництва;заступнику командира роти з цивільно-військового співробітництва;заступником командира роти з цивільно-військового співробітництва;зведений;
заступник командира роти з інженерного забезпечення;заступника командира роти з інженерного забезпечення;заступника командира роти з інженерного забезпечення;заступнику командира роти з інженерного забезпечення;заступником командира роти з інженерного забезпечення;зведений;
заступник командувача;заступника командувача;заступника командувача;заступнику командувача;заступником командувача;зведений;
заступник начальника;заступника начальника;заступника начальника;заступнику начальника;заступником начальника;зведений;
заступник начальника апарату;заступника начальника апарату;заступника начальника апарату;заступнику начальника апарату;заступником начальника апарату;зведений;
заступник начальника бази;заступника начальника бази;заступника начальника бази;заступнику начальника бази;заступником начальника бази;зведений;
заступник начальника вузла;заступника начальника вузла;заступника начальника вузла;заступнику начальника вузла;заступником начальника вузла;зведений;
заступник начальника відділення;заступника начальника відділення;заступника начальника відділення;заступнику начальника відділення;заступником начальника відділення;зведений;
заступник начальника відділу;заступника начальника відділу;заступника начальника відділу;заступнику начальника відділу;заступником начальника відділу;зведений;
заступник начальника госпіталю;заступника начальника госпіталю;заступника начальника госпіталю;заступнику начальника госпіталю;заступником начальника госпіталю;зведений;
заступник начальника групи;заступника начальника групи;заступника начальника групи;заступнику начальника групи;заступником начальника групи;зведений;
заступник начальника департаменту;заступника начальника департаменту;заступника начальника департаменту;заступнику начальника департаменту;заступником начальника департаменту;зведений;
заступник начальника кафедри;заступника начальника кафедри;заступника начальника кафедри;заступнику начальника кафедри;заступником начальника кафедри;зведений;
заступник начальника клініки;заступника начальника клініки;заступника начальника клініки;заступнику начальника клініки;заступником начальника клініки;зведений;
заступник начальника комендатури;заступника начальника комендатури;заступника начальника комендатури;заступнику начальника комендатури;заступником начальника комендатури;зведений;
заступник начальника курсу;заступника начальника курсу;заступника начальника курсу;заступнику начальника курсу;заступником начальника курсу;зведений;
заступник начальника курсу лідерства сержантського складу;заступника начальника курсу лідерства сержантського складу;заступника начальника курсу лідерства сержантського складу;заступнику начальника курсу лідерства сержантського складу;заступником начальника курсу лідерства сержантського складу;зведений;
заступник начальника лабораторії;заступника начальника лабораторії;заступника начальника лабораторії;заступнику начальника лабораторії;заступником начальника лабораторії;зведений;
заступник начальника майстерні;заступника начальника майстерні;заступника начальника майстерні;заступнику начальника майстерні;заступником начальника майстерні;зведений;
заступник начальника навчального центру;заступника начальника навчального центру;заступника начальника навчального центру;заступнику начальника навчального центру;заступником начальника навчального центру;зведений;
заступник начальника обслуги;заступника начальника обслуги;заступника начальника обслуги;заступнику начальника обслуги;заступником начальника обслуги;довідник, Excel, зведений;
заступник начальника пункту;заступника начальника пункту;заступника начальника пункту;заступнику начальника пункту;заступником начальника пункту;зведений;
заступник начальника пункту управління;заступника начальника пункту управління;заступника начальника пункту управління;заступнику начальника пункту управління;заступником начальника пункту управління;довідник, Excel, зведений;
заступник начальника сектору;заступника начальника сектору;заступника начальника сектору;заступнику начальника сектору;заступником начальника сектору;зведений;
заступник начальника секції;заступника начальника секції;заступника начальника секції;заступнику начальника секції;заступником начальника секції;зведений;
заступник начальника складу;заступника начальника складу;заступника начальника складу;заступнику начальника складу;заступником начальника складу;зведений;
заступник начальника служби;заступника начальника служби;заступника начальника служби;заступнику начальника служби;заступником начальника служби;зведений;
заступник начальника станції;заступника начальника станції;заступника начальника станції;заступнику начальника станції;заступником начальника станції;зведений;
заступник начальника територіального центру комплектування та соціальної підтримки;заступника начальника територіального центру комплектування та соціальної підтримки;заступника начальника територіального центру комплектування та соціальної підтримки;заступнику начальника територіального центру комплектування та соціальної підтримки;заступником начальника територіального центру комплектування та соціальної підтримки;зведений;
заступник начальника управління;заступника начальника управління;заступника начальника управління;заступнику начальника управління;заступником начальника управління;зведений;
заступник начальника факультету;заступника начальника факультету;заступника начальника факультету;заступнику начальника факультету;заступником начальника факультету;зведений;
заступник начальника центру;заступника начальника центру;заступника начальника центру;заступнику начальника центру;заступником начальника центру;зведений;
заступник начальника центру підготовки сержантського складу;заступника начальника центру підготовки сержантського складу;заступника начальника центру підготовки сержантського складу;заступнику начальника центру підготовки сержантського складу;заступником начальника центру підготовки сержантського складу;зведений;
заступник начальника штабу;заступника начальника штабу;заступника начальника штабу;заступнику начальника штабу;заступником начальника штабу;зведений;
заступник начальника штабу батальйону;заступника начальника штабу батальйону;заступника начальника штабу батальйону;заступнику начальника штабу батальйону;заступником начальника штабу батальйону;зведений;
заступник начальника штабу батареї;заступника начальника штабу батареї;заступника начальника штабу батареї;заступнику начальника штабу батареї;заступником начальника штабу батареї;зведений;
заступник начальника штабу бригади;заступника начальника штабу бригади;заступника начальника штабу бригади;заступнику начальника штабу бригади;заступником начальника штабу бригади;зведений;
заступник начальника штабу взводу;заступника начальника штабу взводу;заступника начальника штабу взводу;заступнику начальника штабу взводу;заступником начальника штабу взводу;зведений;
заступник начальника штабу відділення;заступника начальника штабу відділення;заступника начальника штабу відділення;заступнику начальника штабу відділення;заступником начальника штабу відділення;зведений;
