Група;Назва групи;Код ВОС;Найменування ВОС;Посади, на яких застосовується;Допустимо без додаткової підготовки;Допустимо з додатковою підготовкою;Примітка
08;Управління військовими частинами (підрозділами) Сил спеціальних операцій ЗС України;084000;Організація та ведення психологічних акцій (дій);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;093500, 150100, 150200, 150300, 340001, 340002, 340004, 340005;Офіцери інших ВОС, із знанням іноземних мов на рівні СМР-2, які пройшли курси підготовки фахівців Сил спеціальних операцій ЗС України;
08;Управління військовими частинами (підрозділами) Сил спеціальних операцій ЗС України;085000;Міжнародні відносини у воєнній сфері;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;390400, 390500, 340004;;
08;Управління військовими частинами (підрозділами) Сил спеціальних операцій ЗС України;086000;Організація, планування, підготовка, ведення і підтримання руху опору;На командних, штабних посадах та посадах спеціалістів руху опору в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;081000, 082000, 083000, 090100, 092500, 093000, 093400, 094000, 094001, 094002, 094100, 094200, 340001;Офіцери інших ВОС, які пройшли відповідну підготовку;
09;Організація і ведення розвідки;090100;Організація розвідки;На посадах керівного складу розвідки в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також начальників розвідки з’єднань;090200;020100, 021000, 021100, 021200, 021400, 090101, 090300, 094003;
09;Організація і ведення розвідки;090101;Організація розвідувально-інформаційної роботи;На посадах керівного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;090100, 090200, 090300, 091500, 092000, 092500, 093500, 096400;Офіцери інших ВОС, які мають оперативний рівень військової освіти;
09;Організація і ведення розвідки;090104;Організація оцінювання стану цивільного середовища;На командних, штабних посадах та посадах спеціалістів за напрямком цивільно-військового співробітництва в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;850400;Офіцери інших ВОС, які пройшли відповідну підготовку;
09;Організація і ведення розвідки;090200;Організація наземної розвідки;На посадах керівного складу розвідки в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також начальників розвідки з’єднань;094000;021000, 021100, 021200, 021400;
09;Організація і ведення розвідки;090300;Організація радіоелектронної розвідки;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;094400, 094500, 096400;;
09;Організація і ведення розвідки;090500;Організація та бойове застосування підрозділів інженерної розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;101000;101100, 191000;
09;Організація і ведення розвідки;091000;Організація повітряної розвідки;На посадах керівного складу в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також начальників розвідки авіаційних частин;063400, 063402;061002, 061903, 063401, 491200;
09;Організація і ведення розвідки;091100;Організація повітряної радіоелектронної розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;061002, 061903;
09;Організація і ведення розвідки;091300;Оперативно-інформаційна робота з космічною інформацією;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;491800;482300;
09;Організація і ведення розвідки;091500;Організація морської розвідки;На посадах керівного складу розвідки в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також начальників розвідки з’єднань;090100;090300, 094400;
09;Організація і ведення розвідки;092000;Організація космічної розвідки;На посадах керівного складу в органах військового управління, установах і військових навчальних закладах;491800;;
09;Організація і ведення розвідки;092500;Організація спеціальної розвідки;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;;;
09;Організація і ведення розвідки;093000;Оперативний склад органів спеціальної розвідки;На посадах спеціалістів оперативного складу органів спеціальної розвідки (від з’єднань і вище), в установах, ВВНЗ та ВНП ЗВО;;093100;
09;Організація і ведення розвідки;093100;Оперативна техніка спеціальної розвідки;На посадах спеціалістів спеціальної розвідки;Офіцери інших ВОС за персональним відбором;390400;
09;Організація і ведення розвідки;093300;Бойове застосування радіозв’язку спеціальної розвідки;На посадах спеціалістів радіозв’язку спеціальної розвідки;495000;521000;
09;Організація і ведення розвідки;093400;Спеціальна служба розвідки;На посадах спеціалістів спеціальної розвідки;;531100;
09;Організація і ведення розвідки;093500;Організація психологічної боротьби;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають досвід служби журналістської роботи із знанням іноземних мов;;
09;Організація і ведення розвідки;094000;Бойове застосування військових частин і підрозділів військової розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;094001;021000, 021100, 021200, 021400, 094100;
09;Організація і ведення розвідки;094001;Бойове застосування наземних підрозділів військової розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;094000;021000, 021100, 021200, 021400;
09;Організація і ведення розвідки;094002;Бойове застосування розвідувальних, аеромобільних (повітрянодесантних), десантно-штурмових військових частин і підрозділів військової розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;094000, 094100;021200, 021400, 094001;
09;Організація і ведення розвідки;094003;Бойове застосування розвідувально-інформаційних підрозділів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;083000, 091300, 092500, 093500, 094000, 094001, 094002, 094400, 094500, 096300, 096400;Офіцери інших ВОС, які мають досвід інформаційно-аналітичної та журналістської роботи;
09;Організація і ведення розвідки;094100;Бойове застосування з’єднань, військових частин і підрозділів спеціального призначення (крім морських);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;094000, 094002;021200, 094001;
09;Організація і ведення розвідки;094200;Бойове застосування з’єднань, військових частин і підрозділів спеціального призначення ВМС ЗС України;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;092500;021400, 074000, 094100, 473300;
09;Організація і ведення розвідки;094400;Бойове застосування підрозділів радіорозвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;090300, 094500, 096400;;
09;Організація і ведення розвідки;094500;Бойове застосування підрозділів радіотехнічної розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;090300, 094400, 096400;;
09;Організація і ведення розвідки;096300;Обробка (дешифрування) аерофотоданих повітряної розвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
09;Організація і ведення розвідки;096400;Автоматизована обробка розвідувальної інформації в радіоелектронній розвідці;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;090300, 094400, 094500;;
09;Організація і ведення розвідки;097000;Бойове застосування військових частин і підрозділів артилерійської розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;030400;030500, 041600;
09;Організація і ведення розвідки;098000;Бойове застосування військових частин і підрозділів радіаційної, хімічної, біологічної розвідки;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;110100, 111000;510200, 510900;
10;Інженерне забезпечення бойових дій військ (сил);100100;Організація інженерного забезпечення бойових дій військ (сил);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також начальники інженерної служби;Офіцери інших ВОС інженерного забезпечення бойових дій військ (сил) та інженерного озброєння, які мають досвід військової служби на посадах офіцерського складу;;
10;Інженерне забезпечення бойових дій військ (сил);100400;Організація інженерного забезпечення бойових дій (бойового застосування) зенітних ракетних та радіотехнічних військ;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також начальників інженерної служби;100100;100500, 101000;
10;Інженерне забезпечення бойових дій військ (сил);100500;Організація інженерного забезпечення бойових дій ВМС ЗС України;На командних і штабних посадах спеціалістів морської інженерної служби в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100;100400, 101000;
10;Інженерне забезпечення бойових дій військ (сил);101000;Бойове застосування інженерно-саперних (інженерних) з’єднань, військових частин (підрозділів);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100;100400, 100500;
10;Інженерне забезпечення бойових дій військ (сил);101100;Бойове застосування понтонно-мостових та переправно-десантних з’єднань, військових частин (підрозділів);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 101501;100400, 100500, 101000;
10;Інженерне забезпечення бойових дій військ (сил);101400;Бойове застосування інженерних з’єднань, військових частин (підрозділів) водопостачання;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 101500, 101502;100400, 100500, 101000;
10;Інженерне забезпечення бойових дій військ (сил);101500;Бойове застосування інженерно-технічних з’єднань, військових частин (підрозділів);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 101400, 101502;100400, 100500, 101000;
10;Інженерне забезпечення бойових дій військ (сил);101501;Бойове застосування інженерних, дорожньо-будівельних та містобудівельних військових частин (підрозділів);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 101100;100400, 100500, 101000;
10;Інженерне забезпечення бойових дій військ (сил);101502;Бойове застосування інженерно-позиційних та інженерно-фортифікаційних військових частин (підрозділів);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 101400, 101500;100400, 100500, 101000;
11;Радіаційне, хімічне і біологічне забезпечення бойових дій військ (сил);110100;Організація радіаційного, хімічного, біологічного захисту ЗС України в бойових діях;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників служб (груп) радіаційного, хімічного, біологічного захисту;098000, 111000, 111100, 110400, 110600;510900;
11;Радіаційне, хімічне і біологічне забезпечення бойових дій військ (сил);110400;Організація радіаційного, хімічного, біологічного захисту військових частин (підрозділів) зенітних ракетних та радіотехнічних військ у бойових діях;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників служб (груп) радіаційного, хімічного, біологічного захисту;110100, 110600, 111000;111100;
11;Радіаційне, хімічне і біологічне забезпечення бойових дій військ (сил);110500;Організація радіаційного, хімічного, біологічного захисту бойовий дій авіації;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників служб (груп) радіаційного, хімічного, біологічного захисту;110100, 110600, 111000;111100;
11;Радіаційне, хімічне і біологічне забезпечення бойових дій військ (сил);110600;Організація радіаційного, хімічного, біологічного захисту ВМС ЗС України в бойових діях;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників служб (груп) радіаційного, хімічного, біологічного захисту (крім морських);110100, 111000, 510100;111100;
11;Радіаційне, хімічне і біологічне забезпечення бойових дій військ (сил);111000;Бойове застосування з’єднань, військових частин і підрозділів радіаційного, хімічного, біологічного захисту (крім морського берегового базування);На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;098000, 110100, 110400, 110600;510100, 510900;
11;Радіаційне, хімічне і біологічне забезпечення бойових дій військ (сил);111100;Бойове застосування димових військових частин і підрозділів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;110100, 111000, 110400, 110600;098000, 510100, 510200, 510900;
12;Організація зв’язку. Застосування засобів зв’язку;120100;Організація зв’язку у ЗС України;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;120500, 121000, 121100, 121501, 520100, 521000, 521305;520200, 520300, 521800;
12;Організація зв’язку. Застосування засобів зв’язку;120500;Організація зв’язку та радіотехнічного забезпечення авіації;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО;120100, 121000, 121100, 121501, 520100, 520200, 521000;520300, 521305, 521800;
12;Організація зв’язку. Застосування засобів зв’язку;121000;Бойове застосування змішаних з’єднань, військових частин і підрозділів зв’язку (крім підрозділів і військових частин зв’язку та радіотехнічного забезпечення авіації);На командних і штабних посадах у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;120100, 121501, 520100, 520300, 521000, 521305, 521800;120500, 121100, 129000, 520200, 530100, 531100;
12;Організація зв’язку. Застосування засобів зв’язку;121100;Бойове застосування військових частин і підрозділів зв’язку та радіотехнічного забезпечення авіації;На командних і штабних посадах у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;063300, 120100, 121000, 120500, 121501, 521305, 461700;;
12;Організація зв’язку. Застосування засобів зв’язку;121501;Організація захисту інформації та кібернетичної безпеки в інформаційно-телекомунікаційних системах;На командних і штабних посадах, на посадах спеціалістів у льотних екіпажах, в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;160000, 160100, 160200, 160300, 521305, 530200;120100, 120500, 121000, 121100, 520100, 521000, 520200, 520300, 521800, 530100, 531100;
12;Організація зв’язку. Застосування засобів зв’язку;129000;Організація фельд’єгерсько-поштового зв’язку;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;120100, 121000;120500, 121100;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);140001;Організація та ведення боротьби в електромагнітному та кіберсередовищі;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників відділів (відділень, груп) управління радіочастотним спектром;140100, 140300, 140500, 140600, 140700;141000, 141001, 141002, 141200, 142000, 160000, 540001, 540002, 540100, 541000;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);140100;Організація радіоелектронної боротьби у ЗС України;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;140300, 141000, 540100;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);140300;Організація радіоелектронної боротьби у СВ ЗС України;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників радіоелектронної боротьби військових частин;140100;140500, 140600, 141000, 541000;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);140500;Організація радіоелектронної боротьби у ПС ЗС України;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників радіоелектронної боротьби військових частин;140100;140300, 140600, 540100;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);140600;Організація радіоелектронної боротьби у ВМС ЗС України;На командних і штабних посадах в органах військового управління, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників радіоелектронної боротьби військових частин;140100;140300;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);140700;Організація радіоелектронного захисту радіоелектронних систем та засобів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;140100;140300, 140500, 140600;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);141000;Бойове застосування з’єднань, військових частин і підрозділів, озброєних наземними засобами радіоелектронної боротьби;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;140100, 140300;141001, 141002, 541000;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);141001;Бойове застосування військових частин і підрозділів, озброєних наземними засобами перешкод радіозв’язку;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;140100, 140300, 140500;141000, 541000;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);141002;Бойове застосування військових частин і підрозділів, озброєних наземними (корабельними) засобами перешкод радіолокації, радіонавігації та оптико-електронних засобів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;140100, 140500;141000, 541000;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);141200;Бойове застосування військових частин і підрозділів радіоелектронного захисту радіоелектронних систем та засобів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;140100, 140700;141001, 141002;
14;Організація боротьби в електромагнітному та кіберсередовищі. Застосування засобів електромагнітної боротьби (включаючи радіоелектронну боротьбу);142000;Бойове застосування військових частин та підрозділів електромагнітної та кіберборотьби;На посадах спеціалістів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників відділів (відділень, груп) використання радіочастотного спектра;141000, 141001, 141002, 141200;160100, 160200, 160300, 540001, 540002, 540100, 541000;
15;Інформаційна боротьба;150100;Управління інформаційною безпекою у воєнній сфері;На командних і штабних посадах керівного складу в органах військового управління;150200;150300;
15;Інформаційна боротьба;150200;Організація та ведення інформаційної боротьби;На командних і штабних посадах у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;150100;150300;
15;Інформаційна боротьба;150300;Організація та ведення інформаційної боротьби в кібернетичному просторі;На посадах спеціалістів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;150200;;
16;Кіберборотьба;160000;Організація та ведення кіберборотьби;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;140001, 142000, 160100, 160200, 160300, 540001, 540002;140100, 140300, 140500, 140600, 140700, 141000, 141001, 141002, 141200, 540100, 541000;
16;Кіберборотьба;160100;Застосування підрозділів кіберрозвідки;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;142000, 160000, 160200, 160300, 540001, 540002;141000, 141001, 141002, 141200, 150200, 150300, 191100, 482300, 491800, 530100, 530200, 530600, 540100, 541000;
16;Кіберборотьба;160200;Застосування підрозділів кіберзахисту;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;121501, 142000, 160000, 160100, 160300, 521305, 530200, 540001, 540002;141200;
16;Кіберборотьба;160300;Застосування підрозділів кібервпливу;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;142000, 160000, 160100, 160200, 540001, 540002;141000, 141001, 141002, 141200, 150200, 150300, 191100, 482300, 491800, 530100, 530200, 530600, 540100, 541000;
17;Організація відновлення та будівництва національної транспортної системи;170100;Управління діяльністю та підготовкою Державної спеціальної служби транспорту;На командних і штабних посадах керівного складу в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;170200, 580100;180200, 703100;
17;Організація відновлення та будівництва національної транспортної системи;170200;Застосування з’єднань, військових частин і підрозділів із відновлення та будівництва об’єктів національної транспортної системи;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;170201, 170202, 170203, 580100;180200, 703100;
17;Організація відновлення та будівництва національної транспортної системи;170201;Застосування військових частин і підрозділів із відновлення та будівництва об’єктів національної транспортної системи;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;170200, 170202, 170203, 580100;180200, 703100;
17;Організація відновлення та будівництва національної транспортної системи;170202;Застосування військових частин і підрозділів із відновлення та будівництва штучних споруд на об’єктах національної транспортної системи;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;170200, 221000, 580100;170201;
17;Організація відновлення та будівництва національної транспортної системи;170203;Застосування військових частин і підрозділів механізації відновлення та будівництва об’єктів національної транспортної системи;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;170200, 580100;221000, 500200, 500201;
17;Організація відновлення та будівництва національної транспортної системи;170204;Застосування військових частин і підрозділів із технічного прикриття та охорони об’єктів національної транспортної системи;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;170200, 580100;;
17;Організація відновлення та будівництва національної транспортної системи;170300;Застосування військових частин і підрозділів з експлуатації об’єктів національної транспортної системи;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також спеціалістів рухомого складу залізниць;;703200;
18;Організація відновлення та будівництва автомобільних доріг. Організація дорожньо-комендантської служби;180200;Бойове застосування з’єднань, військових частин і підрозділів дорожніх військ;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100;;
18;Організація відновлення та будівництва автомобільних доріг. Організація дорожньо-комендантської служби;180204;Бойове застосування дорожньо-комендантських з’єднань, військових частин, підрозділів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;100100, 180200;101501;
19;Топогеодезичне забезпечення військ (сил);190100;Організація топогеодезичного забезпечення;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також начальники топографічної служби;191000;590200, 590300;
