Називний;Родовий;Давальний;Орудний;Інші форми;Склад;Код посади (МО 317);Номери ВОС (МО 317);Усі ВОС;Назва в переліку МО 317;Джерело
заступник командира роти з інженерного забезпечення;заступника командира роти з інженерного забезпечення;заступнику командира роти з інженерного забезпечення;заступником командира роти з інженерного забезпечення;;офіцерський;;;;;складено
заступник командувача;заступника командувача;заступнику командувача;заступником командувача;;офіцерський;;;;;складено
заступник начальника;заступника начальника;заступнику начальника;заступником начальника;;офіцерський;;;;;складено
заступник начальника апарату;заступника начальника апарату;заступнику начальника апарату;заступником начальника апарату;;офіцерський;;;;;складено
заступник начальника бази;заступника начальника бази;заступнику начальника бази;заступником начальника бази;;офіцерський;;;;;складено
заступник начальника вузла;заступника начальника вузла;заступнику начальника вузла;заступником начальника вузла;;офіцерський;;;;;складено
заступник начальника відділення;заступника начальника відділення;заступнику начальника відділення;заступником начальника відділення;;офіцерський;;;;;складено
заступник начальника відділу;заступника начальника відділу;заступнику начальника відділу;заступником начальника відділу;;офіцерський;;;;;складено
заступник начальника госпіталю;заступника начальника госпіталю;заступнику начальника госпіталю;заступником начальника госпіталю;;офіцерський;;;;;складено
заступник начальника групи;заступника начальника групи;заступнику начальника групи;заступником начальника групи;;офіцерський;;;;;складено
заступник начальника департаменту;заступника начальника департаменту;заступнику начальника департаменту;заступником начальника департаменту;;офіцерський;;;;;складено
заступник начальника кафедри;заступника начальника кафедри;заступнику начальника кафедри;заступником начальника кафедри;;офіцерський;;;;;складено
заступник начальника клініки;заступника начальника клініки;заступнику начальника клініки;заступником начальника клініки;;офіцерський;;;;;складено
заступник начальника комендатури;заступника начальника комендатури;заступнику начальника комендатури;заступником начальника комендатури;;офіцерський;;;;;складено
заступник начальника курсу;заступника начальника курсу;заступнику начальника курсу;заступником начальника курсу;;офіцерський;;;;;складено
заступник начальника курсу лідерства сержантського складу;заступника начальника курсу лідерства сержантського складу;заступнику начальника курсу лідерства сержантського складу;заступником начальника курсу лідерства сержантського складу;;рядовий, сержантський, старшинський;366;929;;Заступник начальника Курсу лідерства сержантського (старшинського) складу;МО 317
заступник начальника лабораторії;заступника начальника лабораторії;заступнику начальника лабораторії;заступником начальника лабораторії;;офіцерський;;;;;складено
заступник начальника майстерні;заступника начальника майстерні;заступнику начальника майстерні;заступником начальника майстерні;;офіцерський;;;;;складено
заступник начальника навчального центру;заступника начальника навчального центру;заступнику начальника навчального центру;заступником начальника навчального центру;;офіцерський;;;;;складено
заступник начальника обслуги;заступника начальника обслуги;заступнику начальника обслуги;заступником начальника обслуги;;рядовий, сержантський, старшинський;103;034, 048, 053, 070, 072, 612;;Заступник начальника обслуги;Excel, МО 317
заступник начальника пункту;заступника начальника пункту;заступнику начальника пункту;заступником начальника пункту;;офіцерський;;;;;складено
заступник начальника пункту управління;заступника начальника пункту управління;заступнику начальника пункту управління;заступником начальника пункту управління;;рядовий, сержантський, старшинський;102;616;;Заступник начальника пункту управління;Excel, МО 317
заступник начальника сектору;заступника начальника сектору;заступнику начальника сектору;заступником начальника сектору;;офіцерський;;;;;складено
заступник начальника секції;заступника начальника секції;заступнику начальника секції;заступником начальника секції;;офіцерський;;;;;складено
заступник начальника складу;заступника начальника складу;заступнику начальника складу;заступником начальника складу;;офіцерський;;;;;складено
заступник начальника служби;заступника начальника служби;заступнику начальника служби;заступником начальника служби;;офіцерський;;;;;складено
заступник начальника станції;заступника начальника станції;заступнику начальника станції;заступником начальника станції;;офіцерський;;;;;складено
заступник начальника територіального центру комплектування та соціальної підтримки;заступника начальника територіального центру комплектування та соціальної підтримки;заступнику начальника територіального центру комплектування та соціальної підтримки;заступником начальника територіального центру комплектування та соціальної підтримки;;офіцерський;;;;;складено
заступник начальника управління;заступника начальника управління;заступнику начальника управління;заступником начальника управління;;"рядовий, сержантський, старшинський; офіцерський";094;929;;Заступник начальника Управління (в апараті головного сержанта Збройних Сил України);МО 317, складено
заступник начальника факультету;заступника начальника факультету;заступнику начальника факультету;заступником начальника факультету;;офіцерський;;;;;складено
заступник начальника центру;заступника начальника центру;заступнику начальника центру;заступником начальника центру;;офіцерський;;;;;складено
заступник начальника центру підготовки сержантського складу;заступника начальника центру підготовки сержантського складу;заступнику начальника центру підготовки сержантського складу;заступником начальника центру підготовки сержантського складу;;рядовий, сержантський, старшинський;108;929;;Заступник начальника Центру підготовки сержантського (старшинського) складу;МО 317
заступник начальника штабу;заступника начальника штабу;заступнику начальника штабу;заступником начальника штабу;;офіцерський;;;;;складено
заступник начальника штабу батальйону;заступника начальника штабу батальйону;заступнику начальника штабу батальйону;заступником начальника штабу батальйону;;офіцерський;;;;;складено
заступник начальника штабу батареї;заступника начальника штабу батареї;заступнику начальника штабу батареї;заступником начальника штабу батареї;;офіцерський;;;;;складено
заступник начальника штабу бригади;заступника начальника штабу бригади;заступнику начальника штабу бригади;заступником начальника штабу бригади;;офіцерський;;;;;складено
заступник начальника штабу взводу;заступника начальника штабу взводу;заступнику начальника штабу взводу;заступником начальника штабу взводу;;офіцерський;;;;;складено
заступник начальника штабу відділення;заступника начальника штабу відділення;заступнику начальника штабу відділення;заступником начальника штабу відділення;;офіцерський;;;;;складено
заступник начальника штабу військової частини;заступника начальника штабу військової частини;заступнику начальника штабу військової частини;заступником начальника штабу військової частини;;офіцерський;;;;;складено
заступник начальника штабу групи;заступника начальника штабу групи;заступнику начальника штабу групи;заступником начальника штабу групи;;офіцерський;;;;;складено
заступник начальника штабу дивізіону;заступника начальника штабу дивізіону;заступнику начальника штабу дивізіону;заступником начальника штабу дивізіону;;офіцерський;;;;;складено
заступник начальника штабу екіпажу;заступника начальника штабу екіпажу;заступнику начальника штабу екіпажу;заступником начальника штабу екіпажу;;офіцерський;;;;;складено
заступник начальника штабу ескадрильї;заступника начальника штабу ескадрильї;заступнику начальника штабу ескадрильї;заступником начальника штабу ескадрильї;;офіцерський;;;;;складено
заступник начальника штабу загону;заступника начальника штабу загону;заступнику начальника штабу загону;заступником начальника штабу загону;;офіцерський;;;;;складено
заступник начальника штабу командування;заступника начальника штабу командування;заступнику начальника штабу командування;заступником начальника штабу командування;;офіцерський;;;;;складено
заступник начальника штабу корпусу;заступника начальника штабу корпусу;заступнику начальника штабу корпусу;заступником начальника штабу корпусу;;офіцерський;;;;;складено
заступник начальника штабу ланки;заступника начальника штабу ланки;заступнику начальника штабу ланки;заступником начальника штабу ланки;;офіцерський;;;;;складено
заступник начальника штабу полку;заступника начальника штабу полку;заступнику начальника штабу полку;заступником начальника штабу полку;;офіцерський;;;;;складено
заступник начальника штабу роти;заступника начальника штабу роти;заступнику начальника штабу роти;заступником начальника штабу роти;;офіцерський;;;;;складено
заступник начальника інспекції;заступника начальника інспекції;заступнику начальника інспекції;заступником начальника інспекції;;офіцерський;;;;;складено
звукометрист;звукометриста;звукометристу;звукометристом;;рядовий, сержантський, старшинський;106;627;;Звукометрист;Excel, МО 317
звукометрист-радіотелеграфіст;звукометриста-радіотелеграфіста;звукометристу-радіотелеграфісту;звукометристом-радіотелеграфістом;;рядовий, сержантський, старшинський;;;;;Excel
звукометрист-радіотелефоніст;звукометриста-радіотелефоніста;звукометристу-радіотелефоністу;звукометристом-радіотелефоністом;;рядовий, сержантський, старшинський;;;;;Excel
зовнішній пілот;зовнішнього пілота;зовнішньому пілоту;зовнішнім пілотом;;рядовий, сержантський, старшинський;;;;;Excel
зуборізальник;зуборізальника;зуборізальнику;зуборізальником;;рядовий, сержантський, старшинський;107;793;;Зуборізальник;Excel, МО 317
кабельник;кабельника;кабельнику;кабельником;;рядовий, сержантський, старшинський;128;403;;Кабельник;Excel, МО 317
кабельник-спаювальник;кабельника-спаювальника;кабельнику-спаювальнику;кабельником-спаювальником;;рядовий, сержантський, старшинський;129;403;;Кабельник-спаювальник;Excel, МО 317
каменотес;каменотеса;каменотесу;каменотесом;;рядовий, сержантський, старшинський;131;956;;Каменотес;Excel, МО 317
клепальник;клепальника;клепальнику;клепальником;;рядовий, сержантський, старшинський;136;793;;Клепальник;Excel, МО 317
коваль;коваля;ковалю;ковалем;;рядовий, сержантський, старшинський;213;794;;Коваль;Excel, МО 317
кок;кока;коку;коком;;рядовий, сержантський, старшинський;139;788;;Кок;Excel, МО 317
командир;командира;командиру;командиром;;"рядовий, сержантський, старшинський; офіцерський";;;;;Excel, складено
командир артилерійського катера;командира артилерійського катера;командиру артилерійського катера;командиром артилерійського катера;;рядовий, сержантський, старшинський;151;300;;Командир артилерійського катера;Excel, МО 317
командир баржі;командира баржі;командиру баржі;командиром баржі;;рядовий, сержантський, старшинський;142;302;;Командир баржі (рейдової, водоналивної, суховантажної);МО 317
командир батальйону;командира батальйону;командиру батальйону;командиром батальйону;;офіцерський;;;;;складено
командир батареї;командира батареї;командиру батареї;командиром батареї;;офіцерський;;;;;складено
командир бойової машини;командира бойової машини;командиру бойової машини;командиром бойової машини;;рядовий, сержантський, старшинський;144;037, 056, 073, 121, 122, 128, 140;;Командир бойової машини;МО 317
командир бригади;командира бригади;командиру бригади;командиром бригади;;офіцерський;;;;;складено
командир буксира;командира буксира;командиру буксира;командиром буксира;;рядовий, сержантський, старшинський;146;302;;Командир буксира (рейдового та річкового);МО 317
командир буксирного катера;командира буксирного катера;командиру буксирного катера;командиром буксирного катера;;рядовий, сержантський, старшинський;153, 154;302;;Командир буксирного катера (потужністю 150 к.с. і більше) | Командир буксирного катера (потужністю до 150 к.с.);МО 317
командир великого гідрографічного катера;командира великого гідрографічного катера;командиру великого гідрографічного катера;командиром великого гідрографічного катера;;рядовий, сержантський, старшинський;152;300;;Командир великого гідрографічного катера;Excel, МО 317
командир взводу;командира взводу;командиру взводу;командиром взводу;;"рядовий, сержантський, старшинський; офіцерський";147;;так;Командир взводу;Excel, МО 317, складено
командир взводу - старший інструктор;командира взводу - старшого інструктора;командиру взводу - старшому інструктору;командиром взводу - старшим інструктором;;рядовий, сержантський, старшинський;196;;так;Командир взводу - старший інструктор (навчального центру);МО 317
командир взводу-старший;командира взводу-старшого;командиру взводу-старшому;командиром взводу-старшим;;рядовий, сержантський, старшинський;;;;;Excel
командир вогневих установок корабля;командира вогневих установок корабля;командиру вогневих установок корабля;командиром вогневих установок корабля;;рядовий, сержантський, старшинський;180;220, 221, 223;;Командир вогневих установок корабля;МО 317
командир відділення;командира відділення;командиру відділення;командиром відділення;;"рядовий, сержантський, старшинський; офіцерський";182, 138, 215;100, 101, 102, 103, 104, 106, 107, 108, 110, 111, 121, 122, 123, 124, 125, 126, 143, 146, 156, 163, 166, 168, 182, 183, 187, 193, 381, 382, 383, 384, 385, 443;так;Командир відділення | Командир відділення (військових частин і підрозділів спеціального призначення, спеціальної розвідки) | Командир відділення (механізованого, мотопіхотного, піхотного, аеромобільного, десантно-штурмового, штурмового, повітряно-десантного, гірсько-штурмового та морської піхоти);МО 317, складено
командир відділення - інструктор з фізичної підготовки;командира відділення - інструктора з фізичної підготовки;командиру відділення - інструктору з фізичної підготовки;командиром відділення - інструктором з фізичної підготовки;;рядовий, сержантський, старшинський;133;;так;Командир відділення - інструктор з фізичної підготовки;МО 317
командир відділення-інструктор;командира відділення-інструктор;командиру відділення-інструктор;командиром відділення-інструктор;;рядовий, сержантський, старшинський;132;;так;Командир відділення-інструктор;МО 317
командир військової частини;командира військової частини;командиру військової частини;командиром військової частини;;офіцерський;;;;;складено
командир гармати;командира гармати;командиру гармати;командиром гармати;;рядовий, сержантський, старшинський;181;132, 133, 134, 135, 136, 153, 155, 156;;Командир гармати;Excel, МО 317
командир групи;командира групи;командиру групи;командиром групи;;"рядовий, сержантський, старшинський; офіцерський";223;100;;Командир групи (механізованого, мотопіхотного, піхотного, аеромобільного, десантно-штурмового, штурмового, повітряно-десантного, гірсько-штурмового відділення та морської піхоти);МО 317, складено
командир гідрографічного катера;командира гідрографічного катера;командиру гідрографічного катера;командиром гідрографічного катера;;рядовий, сержантський, старшинський;116;300;;Командир гідрографічного катера;Excel, МО 317
командир гірсько-штурмового взводу;командира гірсько-штурмового взводу;командиру гірсько-штурмового взводу;командиром гірсько-штурмового взводу;;рядовий, сержантський, старшинський;;;;;Excel
командир десантного катера;командира десантного катера;командиру десантного катера;командиром десантного катера;;рядовий, сержантський, старшинський;156;300;;Командир десантного катера;Excel, МО 317
командир дивізіону;командира дивізіону;командиру дивізіону;командиром дивізіону;;офіцерський;;;;;складено
командир дослідного катера;командира дослідного катера;командиру дослідного катера;командиром дослідного катера;;рядовий, сержантський, старшинський;161;300;;Командир дослідного катера;Excel, МО 317
командир екіпажу;командира екіпажу;командиру екіпажу;командиром екіпажу;;офіцерський;;;;;складено
командир екіпажу безпілотних авіаційних комплексів;командира екіпажу безпілотних авіаційних комплексів;командиру екіпажу безпілотних авіаційних комплексів;командиром екіпажу безпілотних авіаційних комплексів;;рядовий, сержантський, старшинський;264, 270, 794;216, 217, 218, 219;;Командир екіпажу безпілотних авіаційних комплексів (мікро та міні) | Командир екіпажу безпілотних авіаційних комплексів (малі) | Командир екіпажу безпілотних авіаційних комплексів (з реактивним двигуном);МО 317
командир ескадрильї;командира ескадрильї;командиру ескадрильї;командиром ескадрильї;;офіцерський;;;;;складено
командир загону;командира загону;командиру загону;командиром загону;;офіцерський;;;;;складено
командир зенітної ракетної самохідної установки;командира зенітної ракетної самохідної установки;командиру зенітної ракетної самохідної установки;командиром зенітної ракетної самохідної установки;;рядовий, сержантський, старшинський;149;163;;Командир зенітної ракетної самохідної установки;Excel, МО 317
командир зенітної самохідної установки;командира зенітної самохідної установки;командиру зенітної самохідної установки;командиром зенітної самохідної установки;;рядовий, сержантський, старшинський;150;157;;Командир зенітної самохідної установки;Excel, МО 317
командир катера зв'язку;командира катера зв'язку;командиру катера зв'язку;командиром катера зв'язку;;рядовий, сержантський, старшинський;173;300;;Командир катера зв'язку;Excel, МО 317
командир катера радіаційної, хімічної, біологічної розвідки;командира катера радіаційної, хімічної, біологічної розвідки;командиру катера радіаційної, хімічної, біологічної розвідки;командиром катера радіаційної, хімічної, біологічної розвідки;;рядовий, сержантський, старшинський;166;300;;Командир катера радіаційної, хімічної, біологічної розвідки;МО 317
командир катера-водія мішені;командира катера-водія мішені;командиру катера-водія мішені;командиром катера-водія мішені;;рядовий, сержантський, старшинський;155;300;;Командир катера-водія мішені;Excel, МО 317
командир катера-мішені;командира катера-мішені;командиру катера-мішені;командиром катера-мішені;;рядовий, сержантський, старшинський;159;300;;Командир катера-мішені;Excel, МО 317
командир катера-торпедолова;командира катера-торпедолова;командиру катера-торпедолова;командиром катера-торпедолова;;рядовий, сержантський, старшинський;175;300;;Командир катера-торпедолова;Excel, МО 317
командир командування;командира командування;командиру командування;командиром командування;;офіцерський;;;;;складено
командир корпусу;командира корпусу;командиру корпусу;командиром корпусу;;офіцерський;;;;;складено
командир ланки;командира ланки;командиру ланки;командиром ланки;;офіцерський;;;;;складено
командир малого гідрографічного катера;командира малого гідрографічного катера;командиру малого гідрографічного катера;командиром малого гідрографічного катера;;рядовий, сержантський, старшинський;158;302;;Командир малого гідрографічного катера;Excel, МО 317
командир машини;командира машини;командиру машини;командиром машини;;рядовий, сержантський, старшинський;177, 114;128, 140, 168, 175, 177, 178, 179, 180;так;Командир машини;МО 317
командир механізованого;командира механізованого;командиру механізованого;командиром механізованого;;рядовий, сержантський, старшинський;;;;;Excel
командир морського буксира;командира морського буксира;командиру морського буксира;командиром морського буксира;;рядовий, сержантський, старшинський;145;300;;Командир морського буксира;Excel, МО 317
командир морського водолазного судна;командира морського водолазного судна;командиру морського водолазного судна;командиром морського водолазного судна;;рядовий, сержантський, старшинський;188;300;;Командир морського водолазного судна;Excel, МО 317
командир морського катера;командира морського катера;командиру морського катера;командиром морського катера;;рядовий, сержантський, старшинський;160;300;;Командир морського катера;Excel, МО 317
командир морської баржі;командира морської баржі;командиру морської баржі;командиром морської баржі;;рядовий, сержантський, старшинський;140, 141;300, 302;;Командир морської баржі (ракетної, артилерійської, мінної, торпедної) | Командир морської баржі (крім ракетної, артилерійської, мінної, торпедної);МО 317
командир міномета;командира міномета;командиру міномета;командиром міномета;;рядовий, сержантський, старшинський;178;143, 144;;Командир міномета;Excel, МО 317
командир навчально-тренувального судна;командира навчально-тренувального судна;командиру навчально-тренувального судна;командиром навчально-тренувального судна;;рядовий, сержантський, старшинський;192;300;;Командир навчально-тренувального судна;Excel, МО 317
командир навчального катера;командира навчального катера;командиру навчального катера;командиром навчального катера;;рядовий, сержантський, старшинський;168;300;;Командир навчального катера;Excel, МО 317
командир навчальної групи;командира навчальної групи;командиру навчальної групи;командиром навчальної групи;;офіцерський;;;;;складено
командир нейтралізуючої машини;командира нейтралізуючої машини;командиру нейтралізуючої машини;командиром нейтралізуючої машини;;рядовий, сержантський, старшинський;179;767;;Командир нейтралізуючої машини;Excel, МО 317
командир плавучого складу;командира плавучого складу;командиру плавучого складу;командиром плавучого складу;;рядовий, сержантський, старшинський;117;300;;Командир плавучого складу;Excel, МО 317
командир плавучої казарми;командира плавучої казарми;командиру плавучої казарми;командиром плавучої казарми;;рядовий, сержантський, старшинський;183;302;;Командир плавучої казарми;Excel, МО 317
командир полку;командира полку;командиру полку;командиром полку;;офіцерський;;;;;складено
командир пошуково-рятувального катера;командира пошуково-рятувального катера;командиру пошуково-рятувального катера;командиром пошуково-рятувального катера;;рядовий, сержантський, старшинський;162, 163;302;;Командир пошуково-рятувального катера (водотоннажністю 15 т і більше) | Командир пошуково-рятувального катера (водотоннажністю до 15 т);МО 317
командир протидиверсійного катера;командира протидиверсійного катера;командиру протидиверсійного катера;командиром протидиверсійного катера;;рядовий, сержантський, старшинський;143;300;;Командир протидиверсійного катера;Excel, МО 317
командир протипожежного катера;командира протипожежного катера;командиру протипожежного катера;командиром протипожежного катера;;рядовий, сержантський, старшинський;165;300;;Командир протипожежного катера;Excel, МО 317
командир протичовнового катера;командира протичовнового катера;командиру протичовнового катера;командиром протичовнового катера;;рядовий, сержантський, старшинський;164;300;;Командир протичовнового катера;Excel, МО 317
командир підводного розвідника;командира підводного розвідника;командиру підводного розвідника;командиром підводного розвідника;;рядовий, сержантський, старшинський;185;168;;Командир підводного розвідника;Excel, МО 317
командир ракетного катера;командира ракетного катера;командиру ракетного катера;командиром ракетного катера;;рядовий, сержантський, старшинський;190;300;;Командир ракетного катера;Excel, МО 317
командир рейдового буксира;командира рейдового буксира;командиру рейдового буксира;командиром рейдового буксира;;рядовий, сержантський, старшинський;202;300;;Командир рейдового буксира;Excel, МО 317
командир рейдового водолазного катера;командира рейдового водолазного катера;командиру рейдового водолазного катера;командиром рейдового водолазного катера;;рядовий, сержантський, старшинський;167;302;;Командир рейдового водолазного катера;Excel, МО 317
командир рейдового катера-заправника;командира рейдового катера-заправника;командиру рейдового катера-заправника;командиром рейдового катера-заправника;;рядовий, сержантський, старшинський;157;302;;Командир рейдового катера-заправника;Excel, МО 317
командир рейдового робочого катера;командира рейдового робочого катера;командиру рейдового робочого катера;командиром рейдового робочого катера;;рядовий, сержантський, старшинський;169;302;;Командир рейдового робочого катера;Excel, МО 317
командир рейдового роз'їзного катера;командира рейдового роз'їзного катера;командиру рейдового роз'їзного катера;командиром рейдового роз'їзного катера;;рядовий, сержантський, старшинський;170, 171;302;;Командир рейдового роз'їзного катера (водотоннажністю 15 т і більше) | Командир рейдового роз'їзного катера (водотоннажністю до 15 т);МО 317
командир рейдового санітарного катера;командира рейдового санітарного катера;командиру рейдового санітарного катера;командиром рейдового санітарного катера;;рядовий, сержантський, старшинський;172;300;;Командир рейдового санітарного катера;Excel, МО 317
командир рейдового судна;командира рейдового судна;командиру рейдового судна;командиром рейдового судна;;рядовий, сержантський, старшинський;191;302;;Командир рейдового судна (розмагнічування, зарядного, електростанції);МО 317
командир розвідувального;командира розвідувального;командиру розвідувального;командиром розвідувального;;рядовий, сержантський, старшинський;;;;;Excel
командир роти;командира роти;командиру роти;командиром роти;;офіцерський;;;;;складено
